date,inflation_cpi
2001-09-01,"102,8"
2001-09-01,"106,1"
2001-09-01,"100,3"
2001-10-01,"103,2"
2001-10-01,"105,8"
2001-10-01,"100,4"
2001-10-01,104
2001-11-01,"103,6"
2001-11-01,"103,3"
2001-11-01,"100,1"
2001-11-01,"105,6"
2001-12-01,"105,5"
2001-12-01,"103,6"
2001-12-01,"103,6"
2001-12-01,"100,2"
2002-01-01,"100,8"
2002-01-01,"103,4"
2002-01-01,"103,4"
2002-01-01,"100,8"
2002-02-01,101
2002-02-01,"100,1"
2002-02-01,"103,5"
2002-02-01,"103,4"
2002-03-01,"101,2"
2002-03-01,"100,2"
2002-03-01,"103,4"
2002-03-01,"103,3"
2002-04-01,"100,5"
2002-04-01,103
2002-04-01,"101,7"
2002-04-01,"103,3"
2002-05-01,"101,9"
2002-05-01,"101,5"
2002-05-01,103
2002-05-01,"99,8"
2002-06-01,"101,6"
2002-06-01,"101,1"
2002-06-01,"102,8"
2002-06-01,"99,6"
2002-07-01,"100,6"
2002-07-01,"101,3"
2002-07-01,"102,5"
2002-07-01,"99,5"
2002-08-01,"100,2"
2002-08-01,"102,4"
2002-08-01,"99,6"
2002-08-01,"101,2"
2002-09-01,"100,3"
2002-09-01,"102,3"
2002-09-01,"101,3"
2002-09-01,"100,6"
2002-10-01,"101,1"
2002-10-01,"102,1"
2002-10-01,"100,9"
2002-10-01,"100,3"
2002-11-01,"100,8"
2002-11-01,"99,9"
2002-11-01,102
2002-11-01,"100,9"
2002-12-01,"100,1"
2002-12-01,"101,9"
2002-12-01,"100,8"
2002-12-01,"100,8"
2003-01-01,"100,4"
2003-01-01,"100,5"
2003-01-01,"100,4"
2003-01-01,"100,5"
2003-02-01,"100,5"
2003-02-01,"100,5"
2003-02-01,"100,1"
2003-02-01,"100,5"
2003-03-01,"100,8"
2003-03-01,"100,3"
2003-03-01,"100,6"
2003-03-01,"100,5"
2003-04-01,101
2003-04-01,"100,3"
2003-04-01,"100,2"
2003-04-01,"100,4"
2003-05-01,"100,4"
2003-05-01,101
2003-05-01,"100,4"
2003-05-01,100
2003-06-01,"100,8"
2003-06-01,"100,8"
2003-06-01,"100,5"
2003-06-01,"99,9"
2003-07-01,"100,5"
2003-07-01,"100,8"
2003-07-01,"100,5"
2003-07-01,"99,6"
2003-08-01,"100,1"
2003-08-01,"100,5"
2003-08-01,"100,7"
2003-08-01,"99,6"
2003-09-01,"100,5"
2003-09-01,"100,9"
2003-09-01,"100,6"
2003-09-01,"100,6"
2003-10-01,"100,7"
2003-10-01,"101,3"
2003-10-01,"100,6"
2003-10-01,"101,2"
2003-11-01,"101,5"
2003-11-01,"101,6"
2003-11-01,"100,7"
2003-11-01,"100,3"
2003-12-01,"101,7"
2003-12-01,"101,7"
2003-12-01,"100,2"
2003-12-01,"100,8"
2004-01-01,"100,4"
2004-01-01,"100,4"
2004-01-01,"101,6"
2004-01-01,"101,6"
2004-02-01,"101,6"
2004-02-01,"101,6"
2004-02-01,"100,5"
2004-02-01,"100,1"
2004-03-01,"101,6"
2004-03-01,"100,8"
2004-03-01,"101,7"
2004-03-01,"100,3"
2004-04-01,"101,8"
2004-04-01,"101,6"
2004-04-01,"100,8"
2004-04-01,"102,2"
2004-05-01,101
2004-05-01,"103,4"
2004-05-01,"102,6"
2004-05-01,"102,1"
2004-06-01,"104,4"
2004-06-01,"103,5"
2004-06-01,"100,9"
2004-06-01,"102,5"
2004-07-01,"104,6"
2004-07-01,"103,4"
2004-07-01,"99,9"
2004-07-01,"102,8"
2004-08-01,"104,6"
2004-08-01,103
2004-08-01,103
2004-08-01,"99,6"
2004-09-01,"103,2"
2004-09-01,"103,3"
2004-09-01,"104,4"
2004-09-01,"100,3"
2004-10-01,"103,3"
2004-10-01,104
2004-10-01,"104,5"
2004-10-01,"100,6"
2004-11-01,"104,5"
2004-11-01,"103,4"
2004-11-01,"104,3"
2004-11-01,"100,3"
2004-12-01,"100,1"
2004-12-01,"104,4"
2004-12-01,"103,5"
2004-12-01,"104,4"
2005-01-01,"103,7"
2005-01-01,"100,1"
2005-01-01,"100,1"
2005-01-01,"103,7"
2005-02-01,100
2005-02-01,"99,9"
2005-02-01,"103,6"
2005-02-01,"103,7"
2005-03-01,"100,2"
2005-03-01,"100,1"
2005-03-01,"103,4"
2005-03-01,"103,6"
2005-04-01,"103,4"
2005-04-01,"100,5"
2005-04-01,"100,4"
2005-04-01,103
2005-05-01,"100,8"
2005-05-01,"100,3"
2005-05-01,"102,5"
2005-05-01,"103,2"
2005-06-01,"102,9"
2005-06-01,"99,8"
2005-06-01,"101,4"
2005-06-01,"100,6"
2005-07-01,"102,7"
2005-07-01,"101,3"
2005-07-01,"99,8"
2005-07-01,"100,4"
2005-08-01,"102,5"
2005-08-01,"100,3"
2005-08-01,"99,9"
2005-08-01,"101,6"
2005-09-01,"102,5"
2005-09-01,"100,7"
2005-09-01,"101,8"
2005-09-01,"100,4"
2005-10-01,"100,4"
2005-10-01,"101,1"
2005-10-01,"101,6"
2005-10-01,"102,4"
2005-11-01,"99,8"
2005-11-01,"102,2"
2005-11-01,"100,9"
2005-11-01,101
2005-12-01,"102,1"
2005-12-01,"100,7"
2005-12-01,"99,8"
2005-12-01,"100,7"
2006-01-01,"100,2"
2006-01-01,"100,6"
2006-01-01,"100,6"
2006-01-01,"100,2"
2006-02-01,"100,7"
2006-02-01,"100,2"
2006-02-01,"100,6"
2006-02-01,100
2006-03-01,"99,9"
2006-03-01,"100,1"
2006-03-01,"100,6"
2006-03-01,"100,4"
2006-04-01,"100,6"
2006-04-01,"100,7"
2006-04-01,"100,8"
2006-04-01,"100,7"
2006-05-01,"100,9"
2006-05-01,"101,3"
2006-05-01,"100,5"
2006-05-01,"100,7"
2006-06-01,"100,8"
2006-06-01,"100,7"
2006-06-01,"99,7"
2006-06-01,101
2006-07-01,"100,7"
2006-07-01,"101,1"
2006-07-01,101
2006-07-01,100
2006-08-01,"101,3"
2006-08-01,"100,8"
2006-08-01,"100,3"
2006-08-01,"101,6"
2006-09-01,"100,9"
2006-09-01,"101,6"
2006-09-01,"101,5"
2006-09-01,"100,2"
2006-10-01,101
2006-10-01,"101,2"
2006-10-01,"101,6"
2006-10-01,"100,1"
2006-11-01,100
2006-11-01,"101,6"
2006-11-01,101
2006-11-01,"101,4"
2006-12-01,"101,4"
2006-12-01,"101,4"
2006-12-01,"99,8"
2006-12-01,101
2007-01-01,"101,6"
2007-01-01,"101,6"
2007-01-01,"100,4"
2007-01-01,"100,4"
2007-02-01,"101,9"
2007-02-01,"100,3"
